Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2007/10/3,586.25,588.99,580.36,584.0199,7751200,0,1,294.0326506,295.4068928,291.0785315,292.9141479,7751200
2007/10/4,585.09,585.09,577.06,579.03,5967400,0,1,293.4508547,293.4508547,289.4234224,290.4114724,5967400
2007/10/5,587.01,596,587.01,594.05,10127200,0,1,294.4138273,298.9227459,294.4138273,297.9447268,10127200
2007/10/8,595,610.26,593.95,609.62,10045900,0,1,298.4211976,306.0748237,297.894572,305.7538328,10045900
2007/10/9,615.11,623.78,608.39,615.185,17518000,0,1,308.5073326,312.8557557,305.1369285,308.5449487,17518000
2007/10/10,621.36,625.68,616.8,625.39,10760400,0,1,311.642009,313.8086974,309.3549491,313.6632484,10760400
2007/10/11,633.64,641.41,609,622,23574400,0,1,317.8010213,321.6980511,305.4428729,311.9629999,23574400
2007/10/12,623.98,638.4,618.24,637.39,13633700,0,1,312.9560654,320.1883909,310.0771785,319.6818272,13633700
2007/10/15,638.47,639.86,615.55,620.11,13873700,0,1,320.2234993,320.9206513,308.7280138,311.0150737,13873700
2007/10/16,618.49,625.92,611.99,616,12038500,0,1,310.2025656,313.929069,306.9425021,308.9537105,12038500
2007/10/17,630.45,634,621.59,633.48,12048900,0,1,316.2010824,317.9815787,311.7573651,317.7207736,12048900
2007/10/18,635.41,641.37,628.5,639.62,24553800,0,1,318.6887617,321.6779891,315.2230634,320.8002797,24553800
2007/10/19,654.56,658.49,643.23,644.71,31546400,0,1,328.2934103,330.2644949,322.6108688,323.3531602,31546400
2007/10/22,638.67,655,636.28,650.75,13315400,0,1,320.3238089,328.5140915,319.1251086,326.3825115,13315400
2007/10/23,661.26,677.6,660,675.77,13573800,0,1,331.6537835,339.8490816,331.0218327,338.9312483,13573800
2007/10/24,672.71,677.47,659.56,675.82,14793500,0,1,337.3965107,339.7838803,330.8011515,338.9563257,14793500
2007/10/25,678.68,678.97,663.55,668.51,11579400,0,1,340.3907536,340.5362026,332.8023289,335.2900081,11579400
2007/10/26,674.03,676.54,668.06,674.6,6701000,0,1,338.0585544,339.3174404,335.0643114,338.3444369,6701000
2007/10/29,677.77,680,672.09,679.23,6126400,0,1,339.9343448,341.0527973,337.0855508,340.6666052,6126400
2007/10/30,677.51,699.91,677.51,694.77,13787300,0,1,339.8039422,351.0386226,339.8039422,348.4606647,13787300
2007/10/31,700.69,707,696.04,707,13739800,0,1,351.4298302,354.5945996,349.0976309,354.5945996,13739800
2007/11/1,702.79,713.72,701.78,703.21,13041300,0,1,352.4830815,357.9650037,351.9765178,352.6937318,13041300
2007/11/2,710.51,713.58,697.34,711.25,11671300,0,1,356.3550339,357.8947869,349.7496436,356.7261795,11671300
2007/11/5,706.99,730.23,706.07,725.65,17749600,0,1,354.5895841,366.245565,354.1281597,363.9484741,17749600
2007/11/6,737.56,741.79,725,741.79,16855700,0,1,369.9219135,372.0434625,363.6224677,372.0434625,16855700
2007/11/7,741.13,747.24,723.14,732.9399,16530400,0,1,371.7124407,374.7769004,362.689588,367.6047105,16530400
2007/11/8,734.6,734.89,677.18,693.84,32991300,0,1,368.4373307,368.5827797,339.6384313,347.9942248,32991300
2007/11/9,675.78,681.88,661.21,663.97,22753400,0,1,338.9362638,341.995708,331.628706,333.0129792,22753400
2007/11/12,657.74,669.93,626.21,632.07,20434100,0,1,329.8883337,336.0022066,314.0745179,317.0135906,20434100
2007/11/13,645.48,660.92,632.07,660.55,16873900,0,1,323.7393524,331.4832571,317.0135906,331.2976842,16873900
2007/11/14,673.28,675.49,636.27,641.68,16173200,0,1,337.6823932,338.7908148,319.1200932,321.8334691,16173200
2007/11/15,638.57,647.5,624,629.65,13921400,0,1,320.2736541,324.7524798,312.9660964,315.7998439,13921400
2007/11/16,633.94,635.49,616.02,633.63,18067500,0,1,317.9514858,318.7288855,308.9637415,317.7960058,18067500
2007/11/19,629.59,636.77,618.5,625.85,11043700,0,1,315.769751,319.3708673,310.2075811,313.8939606,11043700
2007/11/20,636.48,659.1,632.87,648.54,19661500,0,1,319.2254183,330.5704393,317.4148292,325.27409,19661500
2007/11/21,643.77,669.97,642.0801,660.52,14012900,0,1,322.8817049,336.0222686,322.0341385,331.2826378,14012900
2007/11/23,670,678.28,668.11,676.7,5471900,0,1,336.037315,340.1901344,335.0893888,339.3976881,5471900
2007/11/26,680.2,693.4,665,666,13566600,0,1,341.153107,347.7735436,333.5295738,334.0311221,13566600
2007/11/27,674.8,676.43,650.26,673.57,17791100,0,1,338.4447465,339.2622701,326.1367529,337.8278422,17791100
2007/11/28,682.11,694.3,672.14,692.26,15817100,0,1,342.1110641,348.224937,337.1106282,347.2017786,15817100
2007/11/29,690.75,702.79,687.77,697,12403500,0,1,346.4444408,352.4830815,344.9498271,349.5791172,12403500
2007/11/30,711,711.06,682.11,693,15775200,0,1,356.6007925,356.6308854,342.1110641,347.5729243,15775200
2007/12/3,691.01,695,681.14,681.53,8641500,0,1,346.5748433,348.5760208,341.6245623,341.8201661,8641500
2007/12/4,678.31,692,677.1201,684.16,8455100,0,1,340.2051808,347.0713761,339.6083886,343.139238,8455100
2007/12/5,692.73,698.93,687.5,698.51,8410700,0,1,347.4375063,350.5471053,344.814409,350.3364551,8410700
2007/12/6,697.8,716.56,697.01,715.26,9808100,0,1,349.9803558,359.3894007,349.5841327,358.737388,9808100
2007/12/7,714.99,718,710.5,714.87,7696400,0,1,358.6019699,360.1116301,356.3500184,358.5417841,7696400
2007/12/10,715.99,724.8,714,718.42,7704600,0,1,359.1035182,363.5221581,358.1054372,360.3222804,7704600
2007/12/11,719.94,720.99,698.78,699.204,12265900,0,1,361.0846337,361.6112593,350.4718731,350.6845295,12265900
